#log
1751897076.1353335,0,1751897076.1353335,negative
1751897123.8066869,2,1751897123.8054574,positive
1751897178.2684958,0,1751897178.2684958,negative
1751897233.1371412,0,1751897233.1359754,negative
1751897280.031423,0,1751897280.031423,negative
1751897329.8928683,0,1751897329.8928683,negative
1751897466.3495095,1,1751897466.348504,resting
1751897472.665155,100,1751897472.665155,resting
1751897488.8916886,2,1751897488.8906846,positive
1751897533.145497,2,1751897533.1444612,positive
1751898181.0908453,1,1751898181.0897534,resting
1751898190.4083507,100,1751898190.4072995,resting
1751898248.7613997,1,1751898248.7603188,resting
1751898256.4392462,100,1751898256.437202,resting
1751898272.792636,0,1751898272.7906137,negative
1751954954.0707347,1,1751954954.0697343,resting
1751954964.6223414,100,1751954964.6197305,resting
1751954981.329998,2,1751954981.3279612,positive
1751955029.0262387,0,1751955029.0262387,negative
1751955075.2873135,1,1751955075.2861996,neutral
1751955123.6530747,1,1751955123.652234,neutral
1751955170.8830433,1,1751955170.8809323,neutral
1751955219.1524336,2,1751955219.1514149,positive
1751955266.926108,2,1751955266.9251566,positive
1751955319.1751614,0,1751955319.1730042,negative
1751955369.1865454,2,1751955369.1865454,positive
1751955412.8525555,0,1751955412.8504016,negative
1751955472.5486512,1,1751955472.5464454,neutral
1751955521.768584,0,1751955521.7675028,negative
1751955571.666138,2,1751955571.6646261,positive
1751955620.8188868,0,1751955620.8177452,negative
1751955673.6839821,1,1751955673.6829865,neutral
1751955704.351042,200,1751955704.3495061,resting
1751956621.4460192,1751956621.444742,1,resting
1751956635.7391338,1751956635.7370584,100,resting
1751956652.351851,1751956652.3503394,1,neutral
1751956699.6405199,1751956699.6395202,2,positive
1751956743.1362062,1751956743.1362062,1,neutral
1752413114.906699,1752413114.9053977,1,resting
1752413118.0740306,1752413118.072473,5,resting
1752413123.2440407,1752413123.2440407,105,resting
1752413123.3300986,1752413123.3291006,100,resting
1752413140.5068958,1752413140.5068958,1,negative
1752413170.574801,1752413170.5737908,101,negative
1752413186.8926647,1752413186.891658,2,neutral
1752413217.5750902,1752413217.5740306,102,neutral
1752413233.9350553,1752413233.9336941,2,neutral
1752413266.0137782,1752413266.012627,102,neutral
1752413883.0307462,1752413883.0307462,1,resting
1752413888.4997714,1752413888.4986048,5,resting
1752414196.5843387,1752414196.5830724,1,resting
1752414197.9824905,1752414197.9824905,5,resting
1752414203.1278903,1752414203.124662,105,resting
1752414203.160126,1752414203.1590037,100,resting
1752414219.4383013,1752414219.4371035,1,negative
1752414398.4444919,1752414398.443294,1,resting
1752414400.9895346,1752414400.9885266,5,resting
1752414406.1339006,1752414406.1317782,105,resting
1752414406.1996405,1752414406.198422,100,resting
1752414422.7322662,1752414422.7315083,3,positive
1752423903.485745,1752423903.4843678,1,resting
1752423908.8550122,1752423908.8550122,5,resting
1752423914.0346887,1752423914.0323484,105,resting
1752423914.1876094,1752423914.1864896,100,resting
1752423930.5010936,1752423930.499906,2,neutral
1752423962.3821774,1752423962.3808908,102,neutral
1752423978.7061265,1752423978.7061265,3,positive
