
2025-10-28 11:29:09,611 - 视频名称: SEED-IV-Neutral5.mp4, 播放时长: 32.37秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:30:01,025 - 视频名称: SEED-IV-Negative2.mp4, 播放时长: 34.89秒, 情绪类别: negative, 标签值: 1
2025-10-28 11:30:49,580 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.89秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:31:42,135 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.10秒, 情绪类别: positive, 标签值: 3
2025-10-28 11:32:29,765 - 视频名称: Neutral_2.mp4, 播放时长: 31.17秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:33:18,109 - 视频名称: SEED-IV-Negative5.mp4, 播放时长: 31.77秒, 情绪类别: negative, 标签值: 1
2025-10-28 11:34:06,179 - 视频名称: SEED-IV-Neutral2.mp4, 播放时长: 31.46秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:34:55,729 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.08秒, 情绪类别: positive, 标签值: 3
2025-10-28 11:35:44,731 - 视频名称: Neutral_3.mp4, 播放时长: 32.48秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:36:32,053 - 视频名称: SEED-IV-Negative4.mp4, 播放时长: 30.87秒, 情绪类别: negative, 标签值: 1
2025-10-28 11:37:20,115 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.56秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:38:04,245 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.56秒, 情绪类别: positive, 标签值: 3
2025-10-28 11:38:51,565 - 视频名称: Neutral_4.mp4, 播放时长: 30.87秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:39:40,603 - 视频名称: SEED-IV-Negative1.mp4, 播放时长: 32.58秒, 情绪类别: negative, 标签值: 1
2025-10-28 11:40:29,268 - 视频名称: Neutral_5.mp4, 播放时长: 32.08秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:41:17,377 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.69秒, 情绪类别: positive, 标签值: 3
2025-10-28 11:42:07,278 - 视频名称: Neutral_1.mp4, 播放时长: 33.38秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:43:02,673 - 视频名称: SEED-IV-Negative3.mp4, 播放时长: 38.90秒, 情绪类别: negative, 标签值: 1
2025-10-28 11:43:53,877 - 视频名称: SEED-IV-Neutral1.mp4, 播放时长: 34.60秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:22:12,373 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.77秒, 情绪类别: positive, 标签值: 3
2025-10-28 15:23:00,969 - 视频名称: Neutral_5.mp4, 播放时长: 32.08秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:23:50,068 - 视频名称: SEED-IV-Negative1.mp4, 播放时长: 32.48秒, 情绪类别: negative, 标签值: 1
2025-10-28 15:24:39,994 - 视频名称: Neutral_1.mp4, 播放时长: 33.38秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:25:29,694 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.18秒, 情绪类别: positive, 标签值: 3
2025-10-28 15:26:20,855 - 视频名称: SEED-IV-Neutral1.mp4, 播放时长: 34.59秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:27:12,317 - 视频名称: SEED-IV-Negative2.mp4, 播放时长: 34.89秒, 情绪类别: negative, 标签值: 1
2025-10-28 15:28:00,346 - 视频名称: SEED-IV-Neutral2.mp4, 播放时长: 31.48秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:28:52,982 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.09秒, 情绪类别: positive, 标签值: 3
2025-10-28 15:29:41,906 - 视频名称: Neutral_3.mp4, 播放时长: 32.39秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:30:29,278 - 视频名称: SEED-IV-Negative4.mp4, 播放时长: 30.87秒, 情绪类别: negative, 标签值: 1
2025-10-28 15:31:16,711 - 视频名称: Neutral_4.mp4, 播放时长: 30.88秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:32:00,723 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.45秒, 情绪类别: positive, 标签值: 3
2025-10-28 15:32:48,807 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.59秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:33:37,038 - 视频名称: SEED-IV-Negative5.mp4, 播放时长: 31.68秒, 情绪类别: negative, 标签值: 1
2025-10-28 15:34:26,142 - 视频名称: SEED-IV-Neutral5.mp4, 播放时长: 32.57秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:35:14,290 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.57秒, 情绪类别: positive, 标签值: 3
2025-10-28 15:36:02,740 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.88秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:36:58,183 - 视频名称: SEED-IV-Negative3.mp4, 播放时长: 38.91秒, 情绪类别: negative, 标签值: 1
2025-10-28 15:37:45,707 - 视频名称: Neutral_2.mp4, 播放时长: 31.07秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:48:46,059 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.10秒, 情绪类别: positive, 标签值: 3
